inst#,predicted,prediction,REVIEW-ID,CLASS
125,positive,0.48,4219,positive
126,negative,0.43,39984,negative
127,positive,0.63,62295,positive
128,positive,0.68,13799,positive
129,positive,0.42,39838,positive
130,negative,0.66,27021,negative
131,negative,0.59,11934,negative
132,negative,0.85,36948,negative
133,positive,0.57,11079,positive
134,negative,0.63,34178,negative
135,positive,0.91,43065,positive
136,positive,0.4,59406,positive
137,positive,0.66,69725,positive
138,negative,0.72,42550,negative
139,positive,0.79,7035,positive
140,negative,0.48,27113,negative
141,positive,0.69,52606,positive
142,positive,0.9,5160,positive
143,negative,0.46,18001,negative
144,negative,0.45,9175,negative
145,positive,0.55,54138,positive
146,positive,0.8,71661,positive
147,positive,0.47,68292,positive
148,positive,0.6,16807,positive
149,positive,0.6,57988,positive
150,positive,0.49,37714,positive
151,negative,0.75,32863,negative
152,positive,0.66,53503,positive
153,negative,0.71,4574,negative
154,positive,0.61,30816,positive
155,positive,0.75,50829,positive
156,positive,0.58,37846,positive
157,positive,0.71,8865,positive
158,positive,0.82,70487,positive
159,positive,0.55,55855,positive
160,positive,0.43,9057,positive
161,positive,0.52,17735,positive
162,positive,0.69,69277,positive
163,negative,0.61,40807,negative
164,negative,0.4,8397,negative
165,positive,0.78,59664,positive
166,negative,0.93,8671,negative
167,positive,0.82,35650,positive
168,negative,0.63,29450,negative
169,positive,0.55,46035,positive
170,positive,0.57,50325,positive
171,negative,0.51,16226,negative
172,positive,0.72,66612,positive
173,positive,0.8,51237,positive
174,positive,0.64,61871,positive
175,positive,0.69,52835,positive
176,positive,0.91,17408,positive
177,positive,0.47,33561,positive
178,positive,0.59,63274,positive
179,positive,0.43,43019,positive
180,positive,0.89,61015,positive
181,positive,0.79,30968,positive
182,positive,0.88,31132,positive
183,positive,0.49,18213,positive
184,positive,0.72,21575,positive
185,negative,0.48,8284,negative
186,positive,0.57,68041,positive
187,negative,0.682,25975,negative
188,positive,0.83,67392,positive
189,positive,0.81,35475,positive
190,negative,0.73,31044,negative
191,negative,0.49,66090,negative
192,negative,0.6,53225,negative
193,negative,0.62,7358,negative
194,positive,0.69,63381,positive
195,negative,0.58,4410,negative
196,positive,0.46,5072,positive
197,negative,0.58,28435,negative
198,positive,0.57,61430,positive
199,positive,0.8,7919,positive
200,positive,0.58,6498,positive
201,positive,0.45,8167,positive
202,positive,0.64,62527,positive
203,negative,0.37,24843,negative
204,negative,0.6,10709,negative
205,positive,0.62,68092,positive
206,positive,0.922,23253,positive
207,positive,0.85,62937,positive
208,positive,0.45,54859,positive
209,positive,0.56,25008,positive
210,positive,0.44,39099,positive
211,negative,0.65,18819,negative
212,negative,0.81,22460,negative
213,positive,0.52,47596,positive
214,positive,0.87,71717,positive
215,positive,0.78,54768,positive
216,negative,0.5,46561,negative
217,positive,0.74,64529,positive
218,positive,0.83,56485,positive
219,negative,0.69,8617,negative
220,negative,0.73,27971,negative
221,positive,0.64,29317,positive
222,positive,0.95,36222,positive
223,negative,0.61,34273,negative
224,positive,0.38,24942,positive
225,positive,0.44,22972,positive
226,positive,0.42,39422,positive
227,positive,0.67,1937,positive
228,positive,0.51,3232,positive
229,positive,0.65,71973,positive
230,positive,0.64,58853,positive
231,positive,0.64,40715,positive
232,positive,0.78,8131,positive
233,negative,0.62,52390,negative
234,positive,0.81,38868,positive
235,positive,0.67,62741,positive
236,positive,0.61,56566,positive
237,positive,0.54,14887,positive
238,positive,0.62,17866,positive
239,positive,0.48,15405,positive
240,positive,0.65,39891,positive
241,negative,0.65,37491,negative
242,positive,0.68,69886,positive
243,positive,0.609,25282,positive
244,positive,0.72,69712,positive
245,positive,0.97,58787,positive
246,positive,0.43,22359,positive
247,negative,0.62,7645,negative
248,negative,0.73,39221,negative
249,negative,0.59,23393,negative
250,positive,0.68,32049,positive
251,positive,0.69,58379,positive
252,negative,0.39,39815,negative
253,positive,0.92,37050,positive
254,positive,0.63,21453,positive
255,negative,0.65,9102,negative
256,positive,0.63,33599,positive
257,positive,0.6,48702,positive
258,positive,0.9,31332,positive
259,positive,0.73,57699,positive
260,positive,0.81,62714,positive
261,negative,0.624,39661,negative
262,positive,0.71,64030,positive
263,positive,0.52,5169,positive
264,negative,0.71,66860,negative
265,positive,0.42,24360,positive
266,negative,0.61,21042,negative
267,positive,0.68,50221,positive
268,negative,0.46,65428,negative
269,negative,0.74,38728,negative
270,positive,0.43,44545,positive
271,positive,0.76,5742,positive
272,positive,0.68,35776,positive
273,neutral,0.42,49902,neutral
274,positive,0.49,8687,positive
275,positive,0.72,71555,positive
276,positive,0.64,30109,positive
277,positive,0.95,52443,positive
278,positive,0.58,33494,positive
279,positive,0.72,63584,positive
280,positive,0.59,51864,positive
281,negative,0.62,41809,negative
282,positive,0.5,8960,positive
283,negative,0.43,41272,negative
284,positive,0.64,62631,positive
285,positive,0.68,6569,positive
286,positive,0.84,69739,positive
287,positive,0.9,7959,positive
288,positive,0.66,53735,positive
289,positive,0.63,15877,positive
290,positive,0.76,57962,positive
291,positive,0.55,20563,positive
292,positive,0.58,43186,positive
293,positive,0.69,48311,positive
294,positive,0.9,35151,positive
295,positive,0.75,35978,positive
296,positive,0.71,29442,positive
297,positive,0.71,12730,positive
298,positive,0.68,50178,positive
299,positive,0.94,72051,positive
300,positive,0.5,9700,positive
301,positive,0.71,47447,positive
302,negative,0.81,27063,negative
303,positive,0.65,55611,positive
304,negative,0.45,19944,negative
305,positive,0.51,51397,positive
306,positive,0.94,31657,positive
307,positive,0.88,62442,positive
308,negative,0.4,42193,negative
309,positive,0.83,61428,positive
310,positive,0.39,10946,positive
311,negative,0.35,6787,negative
312,negative,0.556,11923,negative
313,negative,0.52,37832,negative
314,positive,0.94,4379,positive
315,positive,0.6,65242,positive
316,positive,0.55,18435,positive
317,positive,0.84,53141,positive
318,positive,0.71,61278,positive
319,positive,0.45,68448,positive
320,positive,0.64,30066,positive
321,positive,0.78,52823,positive
322,positive,0.4,9909,positive
323,negative,0.5,29318,negative
324,negative,0.87,67065,negative
325,negative,0.57,41441,negative
326,positive,0.84,9194,positive
327,positive,0.86,56733,positive
328,negative,0.84,12227,negative
329,positive,0.47,52440,positive
330,positive,0.54,48125,positive
331,negative,0.58,27787,negative
332,positive,0.6,25778,positive
333,positive,0.47,24291,positive
334,positive,0.61,62946,positive
335,positive,0.81,68554,positive
336,positive,0.9,58213,positive
337,positive,0.78,31328,positive
338,positive,0.36,39837,positive
339,positive,0.92,43248,positive
340,positive,0.73,2503,positive
341,positive,0.53,4476,positive
342,negative,0.61,31796,negative
343,positive,0.76,47497,positive
344,positive,0.65,7660,positive
345,negative,0.53,18377,negative
346,positive,0.49,39206,positive
347,positive,0.91,59515,positive
348,positive,0.37,66279,positive
349,positive,0.93,44229,positive
350,positive,0.85,59837,positive
351,positive,0.7,23599,positive
352,positive,0.59,31588,positive
353,positive,0.53,68024,positive
354,negative,0.47,54375,negative
355,positive,0.49,36490,positive
356,positive,0.53,13204,positive
357,neutral,0.37,15392,neutral
358,positive,0.85,56870,positive
359,neutral,0.39,50872,neutral
360,positive,0.43,8589,positive
361,positive,0.52,8694,positive
362,positive,0.52,8920,positive
363,positive,0.84,35352,positive
364,positive,0.82,71940,positive
365,positive,0.55,54998,positive
366,negative,0.687,32701,negative
367,positive,0.71,62146,positive
368,positive,0.78,60029,positive
369,negative,0.74,19743,negative
370,negative,0.52,6611,negative
371,positive,0.81,31280,positive
372,positive,0.89,53838,positive
373,negative,0.41,39646,negative
374,positive,0.78,20287,positive
375,positive,0.61,53393,positive
376,negative,0.58,33424,negative
377,negative,0.41,17630,negative
378,positive,0.79,636,positive
379,negative,0.58,1806,negative
380,negative,0.82,33437,negative
381,positive,0.71,43006,positive
382,positive,0.65,12531,positive
383,positive,0.546,43699,positive
384,positive,0.81,50728,positive
385,positive,0.81,12303,positive
386,negative,0.69,65315,negative
387,positive,0.55,28841,positive
388,positive,0.89,63518,positive
389,positive,0.86,65253,positive
390,positive,0.605,19760,positive
391,positive,0.89,63280,positive
392,positive,0.66,22882,positive
393,positive,0.9,60598,positive
394,negative,0.86,33397,negative
395,negative,0.59,13787,negative
396,positive,0.55,37886,positive
397,negative,0.91,928,negative
398,positive,0.39,56024,positive
399,positive,0.8,70288,positive
400,positive,0.67,49853,positive
401,negative,0.56,12041,negative
402,positive,0.57,50095,positive
403,negative,0.77,51884,negative
404,positive,0.65,57730,positive
405,positive,0.6,63048,positive
406,negative,0.79,28709,negative
407,positive,0.54,6279,positive
408,positive,0.67,35468,positive
409,positive,0.58,62848,positive
410,negative,0.6,9058,negative
411,positive,0.473,66601,positive
412,positive,0.71,35797,positive
413,positive,0.68,15604,positive
414,negative,0.41,28397,negative
415,positive,0.62,54511,positive
416,positive,0.6,9594,positive
417,positive,0.67,7013,positive
418,negative,0.63,8688,negative
419,positive,0.4,48272,positive
420,negative,0.74,11067,negative
421,positive,0.97,7647,positive
422,positive,0.75,32493,positive
423,positive,0.69,6043,positive
424,positive,0.69,2855,positive
425,negative,0.77,36926,negative
426,positive,0.46,49491,positive
427,positive,0.4,26288,positive
428,positive,0.92,34198,positive
429,negative,0.76,40433,negative
430,positive,0.49,39508,positive
431,positive,0.67,22502,positive
432,negative,0.49,46114,negative
433,positive,0.58,68833,positive
434,positive,0.4,9686,positive
435,negative,0.44,1919,negative
436,positive,0.66,33910,positive
437,positive,0.901,72375,positive
438,positive,0.87,58939,positive
439,positive,0.63,45124,positive
440,positive,0.65,61740,positive
441,positive,0.45,41659,positive
442,positive,0.57,54161,positive
443,negative,0.68,41774,negative
444,positive,0.85,1609,positive
445,positive,0.84,72163,positive
446,negative,0.79,20453,negative
447,positive,0.63,46548,positive
448,positive,0.7,30595,positive
449,positive,0.84,812,positive
450,positive,0.61,1506,positive
451,negative,0.59,38665,negative
452,positive,0.61,64513,positive
453,positive,0.742,25903,positive
454,positive,0.5,46761,positive
455,negative,0.38,39096,negative
456,positive,0.47,66121,positive
457,positive,0.84,71376,positive
458,positive,0.53,8530,positive
459,positive,0.85,4397,positive
460,positive,0.85,64615,positive
461,positive,0.75,4270,positive
462,positive,0.69,35943,positive
463,positive,0.51,48691,positive
464,positive,0.4,5069,positive
465,positive,0.84,36836,positive
466,positive,0.46,30081,positive
467,negative,0.52,55073,negative
468,positive,0.6,68903,positive
469,positive,0.73,10987,positive
470,negative,0.53,33520,negative
471,positive,0.84,10328,positive
472,positive,0.63,63068,positive
473,positive,0.8,57729,positive
474,positive,0.9,42767,positive
475,negative,0.76,28156,negative
476,negative,0.7,19013,negative
477,positive,0.69,71328,positive
478,positive,0.83,56532,positive
479,negative,0.6,51946,negative
480,positive,0.76,35819,positive
481,negative,0.77,65179,negative
482,negative,0.69,53362,negative
483,positive,0.48,11605,positive
484,positive,0.61,30398,positive
485,positive,0.77,15628,positive
486,positive,0.609,25253,positive
487,negative,0.65,27009,negative
488,positive,0.81,31936,positive
489,negative,0.55,29556,negative
490,positive,0.71,3503,positive
491,positive,0.81,62935,positive
492,negative,0.888,32589,negative
493,positive,0.59,48910,positive
494,positive,0.41,38565,positive
495,positive,0.83,59115,positive
496,positive,0.62,49145,positive
497,positive,0.86,6893,positive
498,positive,0.57,14076,positive
499,positive,0.73,35820,positive
500,positive,0.84,43700,positive
501,positive,0.47,13754,positive
502,positive,0.8,71465,positive
503,positive,0.48,43916,positive
504,positive,0.77,18587,positive
505,positive,0.37,13369,positive
506,positive,0.55,48449,positive
507,positive,0.71,63310,positive
508,negative,0.81,41900,negative
509,negative,0.44,20568,negative
510,positive,0.76,60338,positive
511,positive,0.93,23338,positive
512,positive,0.86,53807,positive
513,positive,0.73,69909,positive
514,negative,0.74,20815,negative
515,positive,0.66,36615,positive
516,positive,0.68,61175,positive
517,positive,0.72,58664,positive
518,positive,0.73,71084,positive
519,negative,0.53,31424,negative
520,negative,0.45,45748,negative
521,positive,0.42,37545,positive
522,negative,0.48,52083,negative
523,positive,0.49,14571,positive
524,positive,0.76,62309,positive
525,negative,0.7,37351,negative
526,positive,0.56,64685,positive
527,negative,0.86,8128,negative
528,positive,0.85,29725,positive
529,positive,0.88,5007,positive
530,positive,0.86,37021,positive
531,positive,0.63,31982,positive
532,positive,0.49,48255,positive
533,positive,0.66,57165,positive
534,negative,0.41,59724,negative
535,positive,0.68,25744,positive
536,positive,0.82,69779,positive
537,positive,0.8,10963,positive
538,positive,0.54,71652,positive
539,positive,0.42,49084,positive
540,positive,0.71,33834,positive
541,positive,0.47,42569,positive
542,positive,0.63,31747,positive
543,positive,0.58,11392,positive
544,positive,0.88,38528,positive
545,negative,0.47,37006,negative
546,positive,0.37,43646,positive
547,positive,0.58,437,positive
548,positive,0.63,26422,positive
549,negative,0.49,60494,negative
550,positive,0.82,46279,positive
551,positive,0.7,29120,positive
552,positive,0.87,70053,positive
553,positive,0.58,13513,positive
554,negative,0.67,11174,negative
555,negative,0.54,18496,negative
556,negative,0.52,26543,negative
557,positive,0.72,65154,positive
558,positive,0.45,25335,positive
559,positive,0.45,1285,positive
560,positive,0.86,55226,positive
561,positive,0.77,69766,positive
562,negative,0.56,33458,negative
563,positive,0.88,65415,positive
564,positive,0.78,10462,positive
565,positive,0.81,60063,positive
566,positive,0.71,68502,positive
567,neutral,0.38,39434,neutral
568,positive,0.77,15450,positive
569,positive,0.57,50058,positive
570,positive,0.91,32096,positive
571,negative,0.69,33075,negative
572,positive,0.51,72382,positive
573,positive,0.78,66042,positive
574,negative,0.62,9898,negative
575,positive,0.55,54400,positive
576,positive,0.49,30555,positive
577,positive,0.55,42070,positive
578,positive,0.46,45519,positive
579,positive,0.556,9974,positive
580,positive,0.93,43928,positive
581,positive,0.67,50855,positive
582,positive,0.71,20477,positive
583,positive,0.64,47128,positive
584,positive,0.64,26494,positive
585,positive,0.552,40693,positive
586,positive,0.58,431,positive
587,negative,0.48,62188,negative
588,positive,0.67,67910,positive
589,positive,0.74,10424,positive
590,negative,0.76,19730,negative
591,positive,0.83,46105,positive
592,positive,0.6,43217,positive
593,positive,0.43,15724,positive
594,positive,0.85,42295,positive
595,positive,0.7,57140,positive
596,positive,0.55,12509,positive
597,positive,0.61,51508,positive
598,positive,0.69,61945,positive
599,positive,0.7,28365,positive
600,positive,0.72,33511,positive
601,positive,0.7,53965,positive
602,positive,0.85,45996,positive
603,positive,0.51,67597,positive
604,positive,0.67,65752,positive
605,positive,0.6,44981,positive
606,negative,0.8,8312,negative
607,positive,0.64,50220,positive
608,positive,0.69,52808,positive
609,positive,0.56,68976,positive
610,positive,0.96,61491,positive
611,negative,0.64,467,negative
612,positive,0.53,10680,positive
613,positive,0.66,46374,positive
614,negative,0.58,65564,negative
615,positive,0.6,8773,positive
616,positive,0.5,65418,positive
617,positive,0.47,25910,positive
618,neutral,0.47,47440,neutral
619,positive,0.82,72330,positive
620,positive,0.63,47736,positive
621,positive,0.86,35425,positive
622,positive,0.64,10085,positive
623,positive,0.73,31909,positive
624,positive,0.73,70380,positive
625,positive,0.62,50423,positive
626,positive,0.52,20972,positive
627,positive,0.59,25285,positive
628,negative,0.65,12222,negative
629,negative,0.82,33392,negative
630,positive,0.58,35,positive
631,negative,0.61,71776,negative
632,positive,0.55,4456,positive
633,positive,0.48,48191,positive
634,negative,0.512,67475,negative
635,positive,0.41,49941,positive
636,negative,0.63,52800,negative
637,positive,0.59,18387,positive
638,negative,0.71,26908,negative
639,positive,0.67,29338,positive
640,positive,0.94,59552,positive
641,positive,0.77,15458,positive
642,positive,0.54,32697,positive
643,positive,0.41,10036,positive
644,negative,0.75,27711,negative
645,negative,0.42,4649,negative
646,positive,0.53,62680,positive
647,positive,0.81,72121,positive
648,positive,0.72,61544,positive
649,positive,0.57,7196,positive
650,positive,0.81,58502,positive
651,positive,0.48,59269,positive
652,positive,0.71,40339,positive
653,positive,0.55,35765,positive
654,positive,0.65,46968,positive
655,positive,0.57,49268,positive
656,positive,0.72,13437,positive
657,positive,0.42,52580,positive
658,negative,0.75,39878,negative
659,positive,0.906,52093,positive
660,positive,0.49,53900,positive
661,positive,0.88,71277,positive
662,positive,0.6,6797,positive
663,positive,0.55,67141,positive
664,positive,0.45,66196,positive
665,negative,0.47,20282,negative
666,negative,0.55,58030,negative
667,positive,0.82,2644,positive
668,positive,0.84,59933,positive
669,negative,0.65,10965,negative
670,positive,0.65,60624,positive
671,positive,0.72,56398,positive
672,positive,0.45,39562,positive
673,positive,0.62,36800,positive
674,positive,0.41,48585,positive
675,positive,0.53,41137,positive
676,positive,0.53,6112,positive
677,positive,0.47,58782,positive
678,positive,0.86,67123,positive
679,positive,0.94,14125,positive
680,positive,0.52,5000,positive
681,positive,0.57,49990,positive
682,positive,0.9,5167,positive
683,positive,0.89,41743,positive
684,positive,0.8,33564,positive
685,positive,0.72,60133,positive
686,positive,0.57,69588,positive
687,negative,0.5,67522,negative
688,positive,0.62,49980,positive
689,positive,0.52,14778,positive
690,positive,0.62,36135,positive
691,negative,0.44,37768,negative
692,positive,0.75,10836,positive
693,positive,0.85,72109,positive
694,positive,0.78,30407,positive
695,negative,0.8,36937,negative
696,negative,0.4,21344,negative
697,positive,0.35,63931,positive
698,positive,0.39,51697,positive
699,negative,0.89,9810,negative
700,negative,0.81,31179,negative
701,positive,0.739,71226,positive
702,positive,0.69,58471,positive
703,positive,0.74,35807,positive
704,positive,0.52,61395,positive
705,positive,0.57,72355,positive
706,positive,0.87,41330,positive
707,positive,0.89,8065,positive
708,positive,0.99,34999,positive
709,negative,0.62,25405,negative
710,positive,0.93,1427,positive
711,negative,0.62,53984,negative
712,negative,0.37,64078,negative
713,positive,0.49,39552,positive
714,negative,0.38,37227,negative
715,positive,0.49,63962,positive
716,positive,0.44,21879,positive
717,negative,0.457,29523,negative
718,negative,0.47,8620,negative
719,positive,0.65,22934,positive
720,positive,0.72,27918,positive
721,positive,0.6,46687,positive
722,negative,0.48,25851,negative
723,negative,0.53,38650,negative
724,positive,0.58,61239,positive
725,positive,0.42,39500,positive
726,negative,0.38,54130,negative
727,positive,0.41,45400,positive
728,positive,0.41,11643,positive
729,positive,0.81,67802,positive
730,negative,0.45,53374,negative
731,positive,0.66,42213,positive
732,negative,0.77,8138,negative
733,positive,0.85,66235,positive
734,positive,0.65,37033,positive
735,positive,0.76,22396,positive
736,positive,0.52,20401,positive
737,positive,0.6,11318,positive
738,negative,0.43,42540,negative
739,positive,0.6,33058,positive
740,negative,0.77,30768,negative
741,negative,0.43,37372,negative
742,positive,0.74,36322,positive
743,positive,0.59,58484,positive
744,positive,0.55,60390,positive
745,positive,0.54,41540,positive
746,positive,0.47,10164,positive
747,positive,0.8,31241,positive
748,positive,0.61,56551,positive
749,negative,0.46,33867,negative
750,positive,0.48,32908,positive
751,positive,0.67,55394,positive
752,negative,0.49,13813,negative
753,positive,0.64,51852,positive
754,positive,0.77,8994,positive
755,positive,0.53,32013,positive
756,positive,0.53,10721,positive
757,positive,0.46,9009,positive
758,negative,0.64,9630,negative
759,positive,0.58,45141,positive
760,positive,0.58,11468,positive
761,positive,0.76,52908,positive
762,positive,0.49,8727,positive
763,negative,0.64,29087,negative
764,positive,0.91,70290,positive
765,positive,0.57,41411,positive
766,negative,0.6,5499,negative
767,positive,0.49,66771,positive
768,positive,0.62,44008,positive
769,positive,0.81,60187,positive
770,positive,0.56,8957,positive
771,positive,0.76,55349,positive
772,positive,0.64,51904,positive
773,positive,0.6,69666,positive
774,positive,0.62,72142,positive
775,neutral,0.46,49125,neutral
776,positive,0.51,54114,positive
777,positive,0.69,54075,positive
778,negative,0.65,10773,negative
779,positive,0.48,56045,positive
780,positive,0.61,63477,positive
781,positive,0.55,60101,positive
782,positive,0.67,61517,positive
783,positive,0.79,33755,positive
784,positive,0.62,28533,positive
785,negative,0.83,32734,negative
786,positive,0.64,29273,positive
787,negative,0.7,58222,negative
788,positive,0.83,57713,positive
789,positive,0.76,7324,positive
790,negative,0.57,29357,negative
791,positive,0.75,31599,positive
792,positive,0.66,25985,positive
793,positive,0.53,61046,positive
794,negative,0.49,17382,negative
795,positive,0.83,64636,positive
796,negative,0.49,67204,negative
797,positive,0.64,61362,positive
798,negative,0.55,40029,negative
799,positive,0.48,50355,positive
800,positive,0.75,20501,positive
801,negative,0.41,18782,negative
802,positive,0.46,43566,positive
803,negative,0.63,69381,negative
804,positive,0.67,58193,positive
805,positive,0.9,12035,positive
806,positive,0.71,10594,positive
807,positive,0.53,21270,positive
808,positive,0.6,70665,positive
809,positive,0.42,13814,positive
810,positive,0.89,59575,positive
811,positive,0.71,50682,positive
812,negative,0.72,9872,negative
813,positive,0.84,44205,positive
814,positive,0.77,26,positive
815,negative,0.61,40388,negative
816,negative,0.52,17660,negative
817,positive,0.68,10035,positive
818,positive,0.54,54043,positive
819,positive,0.58,1325,positive
820,positive,0.63,28155,positive
821,positive,0.45,48088,positive
822,positive,0.56,60154,positive
823,negative,0.69,26695,negative
824,positive,0.84,60698,positive
825,negative,0.68,45500,negative
826,positive,0.71,22452,positive
827,positive,0.95,43030,positive
828,neutral,0.44,48467,neutral
829,negative,0.74,41506,negative
830,positive,0.54,7692,positive
831,negative,0.59,27637,negative
832,positive,0.66,59584,positive
833,positive,0.52,43389,positive
834,positive,0.59,9083,positive
835,negative,0.62,51930,negative
836,positive,0.78,60968,positive
837,positive,0.7,24093,positive
838,negative,0.62,9925,negative
839,negative,0.42,40287,negative
840,positive,0.5,16517,positive
841,positive,0.8,68167,positive
842,negative,0.75,28547,negative
843,positive,0.65,71343,positive
844,neutral,0.45,44183,neutral
845,positive,0.49,64042,positive
846,negative,0.5,10070,negative
847,positive,0.67,43948,positive
848,positive,0.59,52556,positive
849,positive,0.49,63134,positive
850,positive,0.79,54618,positive
851,positive,0.66,60264,positive
852,positive,0.6,63948,positive
853,negative,0.86,57916,negative
854,positive,0.6,1421,positive
855,positive,0.57,36804,positive
856,positive,0.66,18303,positive
857,negative,0.62,39175,negative
858,positive,0.79,64700,positive
859,positive,0.41,25610,positive
860,positive,0.92,60988,positive
861,positive,0.66,71284,positive
862,positive,0.59,11523,positive
863,positive,0.56,32920,positive
864,negative,0.48,9174,negative
865,positive,0.57,6878,positive
866,positive,0.84,760,positive
867,positive,0.5,25817,positive
868,positive,0.9,41578,positive
869,positive,0.65,45001,positive
870,positive,0.45,5077,positive
871,negative,0.48,15899,negative
872,negative,0.65,66949,negative
873,negative,0.617,9008,negative
874,positive,0.93,42483,positive
875,positive,0.94,9801,positive
876,positive,0.55,43798,positive
877,positive,0.69,38529,positive
878,positive,0.9,64858,positive
879,positive,0.64,70382,positive
880,positive,0.55,32547,positive
881,positive,0.58,34758,positive
882,negative,0.5,58093,negative
883,negative,0.49,3960,negative
884,positive,0.49,52206,positive
885,positive,0.55,48041,positive
886,positive,0.4,39856,positive
887,positive,0.85,63913,positive
888,positive,0.5,48450,positive
889,positive,0.36,30458,positive
890,positive,0.69,23151,positive
891,positive,0.61,46567,positive
892,negative,0.59,26797,negative
893,positive,0.4,24754,positive
894,positive,0.46,65174,positive
895,negative,0.68,32107,negative
896,positive,0.52,8932,positive
897,positive,0.42,13445,positive
898,negative,0.818,33443,negative
899,negative,0.47,28069,negative
900,positive,0.7,54864,positive
901,positive,0.56,38546,positive
902,positive,0.56,44045,positive
903,positive,0.61,69065,positive
904,positive,0.76,23821,positive
905,positive,0.92,3772,positive
906,positive,0.78,8102,positive
907,positive,0.48,25349,positive
908,positive,0.44,38170,positive
909,positive,0.66,8806,positive
910,positive,0.49,18709,positive
911,positive,0.54,43662,positive
912,positive,0.62,17664,positive
913,positive,0.96,48180,positive
914,positive,0.46,11950,positive
915,positive,0.86,58649,positive
916,positive,0.49,28505,positive
917,positive,0.82,19394,positive
918,positive,0.93,35366,positive
919,positive,0.6,63248,positive
920,positive,0.48,58918,positive
921,positive,0.64,40766,positive
922,negative,0.83,28643,negative
923,positive,0.58,41698,positive
924,positive,0.78,51552,positive
925,positive,0.54,8469,positive
926,negative,0.67,28633,negative
927,positive,0.48,50862,positive
928,negative,0.5,13821,negative
929,positive,0.82,54207,positive
