=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     final_train
Instances:    40000
Attributes:   658
              [list of attributes omitted]
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 751.52 seconds

=== Predictions on training set ===

inst#,actual,predicted,error,prediction
74,3:neutral,3:neutral,,0.77
75,1:negative,1:negative,,0.92
76,2:positive,2:positive,,0.97
77,2:positive,2:positive,,0.86
78,3:neutral,3:neutral,,0.76
79,2:positive,2:positive,,0.84
80,3:neutral,3:neutral,,0.73
81,2:positive,2:positive,,0.72
82,1:negative,1:negative,,0.87
83,2:positive,2:positive,,0.82
84,1:negative,1:negative,,0.87
85,3:neutral,3:neutral,,0.66
86,2:positive,2:positive,,0.81
87,1:negative,1:negative,,0.85
88,1:negative,1:negative,,0.83
89,2:positive,2:positive,,0.96
90,1:negative,1:negative,,0.8
91,1:negative,1:negative,,0.79
92,1:negative,1:negative,,0.83
93,1:negative,1:negative,,0.77
94,3:neutral,3:neutral,,0.76
95,2:positive,2:positive,,0.96
96,3:neutral,3:neutral,,0.66
97,1:negative,1:negative,,0.85
98,2:positive,2:positive,,0.87
99,2:positive,2:positive,,0.907
100,1:negative,1:negative,,0.78
101,1:negative,1:negative,,0.9
102,2:positive,2:positive,,0.8
103,2:positive,2:positive,,0.94
104,1:negative,1:negative,,0.8
105,3:neutral,3:neutral,,0.7
106,3:neutral,3:neutral,,0.76
107,2:positive,2:positive,,0.9
108,2:positive,2:positive,,0.82
109,2:positive,2:positive,,0.96
110,2:positive,2:positive,,0.87
111,1:negative,1:negative,,0.77
112,2:positive,2:positive,,0.91
113,3:neutral,3:neutral,,0.69
114,2:positive,2:positive,,0.82
115,2:positive,2:positive,,0.86
116,2:positive,2:positive,,0.77
117,2:positive,2:positive,,0.87
118,1:negative,1:negative,,0.8
119,2:positive,2:positive,,0.98
120,2:positive,2:positive,,0.75
121,2:positive,2:positive,,0.9
122,2:positive,2:positive,,0.86
123,3:neutral,3:neutral,,0.69
124,3:neutral,3:neutral,,0.82
125,1:negative,1:negative,,0.84
126,1:negative,1:negative,,0.75
127,1:negative,1:negative,,0.78
128,2:positive,2:positive,,0.95
129,1:negative,1:negative,,0.83
130,2:positive,2:positive,,0.93
131,2:positive,2:positive,,0.92
132,2:positive,2:positive,,0.95
133,2:positive,2:positive,,0.89
134,3:neutral,3:neutral,,0.76
135,2:positive,2:positive,,0.62
136,1:negative,1:negative,,0.74
137,1:negative,1:negative,,0.86
138,2:positive,2:positive,,0.97
139,3:neutral,3:neutral,,0.68
140,1:negative,1:negative,,0.82
141,2:positive,2:positive,,0.801
142,3:neutral,3:neutral,,0.63
143,1:negative,1:negative,,0.83
144,1:negative,1:negative,,0.8
145,2:positive,2:positive,,0.89
146,3:neutral,3:neutral,,0.7
147,2:positive,2:positive,,0.95
148,2:positive,2:positive,,0.97
149,2:positive,2:positive,,0.9
150,3:neutral,3:neutral,,0.73
151,2:positive,2:positive,,0.89
152,2:positive,2:positive,,0.76
153,2:positive,2:positive,,0.97
154,3:neutral,3:neutral,,0.72
155,1:negative,1:negative,,0.97
156,2:positive,2:positive,,0.9
157,1:negative,1:negative,,0.75
158,1:negative,1:negative,,0.932
159,2:positive,2:positive,,0.84
160,3:neutral,3:neutral,,0.73
161,1:negative,1:negative,,0.82
162,1:negative,1:negative,,0.87
163,2:positive,2:positive,,0.86
164,1:negative,1:negative,,0.82
165,2:positive,2:positive,,0.88
166,2:positive,2:positive,,0.86
167,2:positive,2:positive,,0.95
168,2:positive,2:positive,,0.8
169,2:positive,2:positive,,0.88
170,1:negative,1:negative,,0.94
171,2:positive,2:positive,,0.92
172,2:positive,2:positive,,0.76
173,2:positive,2:positive,,0.87
174,2:positive,2:positive,,0.87
175,2:positive,2:positive,,0.78
176,1:negative,1:negative,,0.82
177,1:negative,1:negative,,0.83
178,1:negative,1:negative,,0.84
179,2:positive,2:positive,,0.89
180,3:neutral,3:neutral,,0.77
181,1:negative,1:negative,,0.697
182,1:negative,1:negative,,0.872
183,2:positive,2:positive,,0.93
184,3:neutral,3:neutral,,0.75
185,1:negative,1:negative,,0.9
186,2:positive,2:positive,,0.91
187,2:positive,2:positive,,0.92
188,3:neutral,3:neutral,,0.67
189,3:neutral,3:neutral,,0.84
190,2:positive,2:positive,,0.91
191,2:positive,2:positive,,0.88
192,2:positive,2:positive,,0.82
193,2:positive,2:positive,,0.96
194,2:positive,2:positive,,0.86
195,1:negative,1:negative,,0.75
196,3:neutral,3:neutral,,0.75
197,2:positive,2:positive,,0.8
198,2:positive,2:positive,,0.92
199,1:negative,1:negative,,0.98
200,2:positive,2:positive,,0.98
201,2:positive,2:positive,,0.97
202,1:negative,1:negative,,0.87
203,2:positive,2:positive,,0.94
204,3:neutral,3:neutral,,0.69
205,2:positive,2:positive,,0.609
206,2:positive,2:positive,,0.85
207,1:negative,1:negative,,0.91
208,2:positive,2:positive,,0.87
209,2:positive,2:positive,,0.88
210,2:positive,2:positive,,0.98
211,2:positive,2:positive,,0.85
212,2:positive,2:positive,,0.91
213,2:positive,2:positive,,0.86
214,2:positive,2:positive,,0.85
215,2:positive,2:positive,,0.85
216,2:positive,2:positive,,0.81
217,2:positive,2:positive,,0.95
218,1:negative,1:negative,,0.81
219,2:positive,2:positive,,0.82
220,3:neutral,3:neutral,,0.73
221,1:negative,1:negative,,0.77
222,2:positive,2:positive,,0.86
223,2:positive,2:positive,,0.95
224,1:negative,1:negative,,0.75
225,2:positive,2:positive,,0.88
226,2:positive,2:positive,,0.85
227,1:negative,1:negative,,0.73
228,2:positive,2:positive,,0.69
229,2:positive,2:positive,,0.97
230,3:neutral,3:neutral,,0.75
231,2:positive,2:positive,,0.81
232,2:positive,2:positive,,0.95
233,2:positive,2:positive,,0.85
234,2:positive,2:positive,,0.79
235,1:negative,1:negative,,0.84
236,1:negative,1:negative,,0.83
237,3:neutral,3:neutral,,0.78
238,1:negative,1:negative,,0.84
239,1:negative,1:negative,,0.94
240,2:positive,2:positive,,0.98
241,2:positive,2:positive,,0.97
242,1:negative,1:negative,,0.75
243,2:positive,2:positive,,0.82
244,3:neutral,2:positive,+,0.609
245,2:positive,2:positive,,0.76
246,2:positive,2:positive,,0.97
247,3:neutral,3:neutral,,0.74
248,2:positive,2:positive,,0.94
249,2:positive,2:positive,,0.91
250,1:negative,1:negative,,0.92
251,2:positive,2:positive,,0.89
252,3:neutral,3:neutral,,0.69
253,2:positive,2:positive,,0.82
254,2:positive,2:positive,,0.89
255,2:positive,2:positive,,0.99
256,2:positive,2:positive,,0.89
257,2:positive,2:positive,,0.77
258,2:positive,2:positive,,0.9
259,3:neutral,3:neutral,,0.7
260,2:positive,2:positive,,0.77
261,2:positive,2:positive,,0.89
262,2:positive,2:positive,,0.85
263,1:negative,1:negative,,0.974
264,2:positive,2:positive,,0.88
265,2:positive,2:positive,,0.92
266,2:positive,2:positive,,0.75
267,2:positive,2:positive,,0.92
268,3:neutral,3:neutral,,0.69
269,2:positive,2:positive,,0.93
270,2:positive,2:positive,,0.85
271,1:negative,1:negative,,0.78
272,1:negative,1:negative,,0.83
273,2:positive,2:positive,,0.95
274,2:positive,2:positive,,0.84
275,3:neutral,3:neutral,,0.68
276,1:negative,1:negative,,0.8
277,1:negative,1:negative,,0.71
278,2:positive,2:positive,,0.9
279,3:neutral,3:neutral,,0.73
280,2:positive,2:positive,,0.82
281,2:positive,2:positive,,0.92
282,2:positive,2:positive,,0.79
283,3:neutral,3:neutral,,0.73
284,2:positive,2:positive,,0.92
285,1:negative,1:negative,,0.86
286,2:positive,2:positive,,0.95
287,3:neutral,3:neutral,,0.71
288,2:positive,2:positive,,0.94
289,1:negative,1:negative,,0.91
290,2:positive,2:positive,,0.9
291,2:positive,2:positive,,0.92
292,3:neutral,3:neutral,,0.75
293,3:neutral,3:neutral,,0.78
294,2:positive,2:positive,,0.96
295,2:positive,2:positive,,0.92
296,2:positive,2:positive,,0.76
297,2:positive,2:positive,,0.91
298,1:negative,1:negative,,0.9
299,1:negative,1:negative,,0.79
300,1:negative,1:negative,,0.72
301,3:neutral,3:neutral,,0.7
302,1:negative,1:negative,,0.74
303,2:positive,2:positive,,0.88
304,2:positive,2:positive,,0.96
305,2:positive,2:positive,,0.93
306,2:positive,2:positive,,0.83
307,2:positive,2:positive,,0.93
308,2:positive,2:positive,,0.93
309,1:negative,1:negative,,0.89
310,1:negative,1:negative,,0.95
311,2:positive,2:positive,,0.9
312,3:neutral,3:neutral,,0.71
313,2:positive,2:positive,,0.89
314,2:positive,2:positive,,0.95
315,2:positive,2:positive,,0.91
316,2:positive,2:positive,,0.9
317,2:positive,2:positive,,0.85
318,2:positive,2:positive,,0.99
319,1:negative,1:negative,,0.89
320,1:negative,1:negative,,0.85
321,3:neutral,3:neutral,,0.68
322,3:neutral,3:neutral,,0.81
323,1:negative,1:negative,,0.78
324,2:positive,2:positive,,0.89
325,2:positive,2:positive,,0.96
326,2:positive,2:positive,,0.91
327,2:positive,2:positive,,0.68
328,1:negative,1:negative,,0.86
329,3:neutral,3:neutral,,0.69
330,2:positive,2:positive,,0.75
331,1:negative,1:negative,,0.74
332,2:positive,2:positive,,0.79
333,3:neutral,3:neutral,,0.75
334,2:positive,2:positive,,0.87
335,2:positive,2:positive,,0.95
336,3:neutral,3:neutral,,0.72
337,2:positive,2:positive,,0.95
338,2:positive,2:positive,,0.91
339,2:positive,2:positive,,0.92
340,2:positive,2:positive,,0.79
341,1:negative,1:negative,,0.68
342,2:positive,2:positive,,0.91
343,1:negative,1:negative,,0.873
344,2:positive,2:positive,,0.86
345,1:negative,1:negative,,0.91
346,2:positive,2:positive,,0.87
347,1:negative,1:negative,,0.73
348,2:positive,2:positive,,0.893
349,2:positive,2:positive,,0.89
350,2:positive,2:positive,,0.79
351,2:positive,2:positive,,0.91
352,3:neutral,3:neutral,,0.74
353,2:positive,2:positive,,0.94
354,2:positive,2:positive,,0.93
355,3:neutral,3:neutral,,0.73
356,2:positive,2:positive,,0.9
357,2:positive,2:positive,,0.98
358,3:neutral,3:neutral,,0.76
359,2:positive,2:positive,,0.91
360,1:negative,1:negative,,0.77
361,2:positive,2:positive,,0.9
362,2:positive,2:positive,,0.89
363,1:negative,1:negative,,0.91
364,2:positive,2:positive,,0.86
365,1:negative,1:negative,,0.73
366,1:negative,1:negative,,0.798
367,2:positive,2:positive,,0.85
368,2:positive,2:positive,,0.98
369,2:positive,2:positive,,0.94
370,1:negative,1:negative,,0.94
371,1:negative,1:negative,,0.81
372,3:neutral,3:neutral,,0.74
373,2:positive,2:positive,,0.96
374,2:positive,2:positive,,0.81
375,2:positive,2:positive,,0.93
376,2:positive,2:positive,,0.87
377,2:positive,2:positive,,0.88
378,3:neutral,3:neutral,,0.7
379,1:negative,1:negative,,0.8
380,1:negative,1:negative,,0.83
381,2:positive,2:positive,,0.85
382,2:positive,2:positive,,0.94
383,2:positive,2:positive,,0.83
384,2:positive,2:positive,,0.95
385,2:positive,2:positive,,0.83
386,2:positive,2:positive,,0.85
387,2:positive,2:positive,,0.88
388,1:negative,1:negative,,0.704
389,2:positive,2:positive,,0.88
390,1:negative,1:negative,,0.66
391,1:negative,1:negative,,0.88
392,3:neutral,3:neutral,,0.75
393,3:neutral,3:neutral,,0.66
394,1:negative,1:negative,,0.92
395,3:neutral,3:neutral,,0.8
396,3:neutral,3:neutral,,0.77
397,2:positive,2:positive,,0.94
398,2:positive,2:positive,,0.86
399,3:neutral,3:neutral,,0.75
400,2:positive,2:positive,,0.94
401,1:negative,1:negative,,0.69
402,2:positive,2:positive,,0.68
403,2:positive,2:positive,,0.96
404,1:negative,2:positive,+,0.609
405,2:positive,2:positive,,0.85
406,1:negative,1:negative,,0.84
407,2:positive,2:positive,,0.85
408,3:neutral,3:neutral,,0.76
409,1:negative,1:negative,,0.72
410,3:neutral,3:neutral,,0.67
411,3:neutral,3:neutral,,0.71
412,2:positive,2:positive,,0.93
413,1:negative,1:negative,,0.9
414,2:positive,2:positive,,0.87
415,3:neutral,3:neutral,,0.73
416,1:negative,1:negative,,0.83
417,2:positive,2:positive,,0.92
418,2:positive,2:positive,,0.89
419,2:positive,2:positive,,0.97
420,2:positive,2:positive,,0.94
421,2:positive,2:positive,,0.98
422,2:positive,2:positive,,0.81
423,2:positive,2:positive,,0.85
424,2:positive,2:positive,,0.86
425,2:positive,2:positive,,0.93
426,2:positive,2:positive,,0.82
427,2:positive,2:positive,,0.92
428,2:positive,2:positive,,0.95
429,2:positive,2:positive,,0.95
430,2:positive,2:positive,,0.85
431,1:negative,2:positive,+,0.609
432,2:positive,2:positive,,0.91
433,2:positive,2:positive,,0.87
434,1:negative,1:negative,,0.71
435,3:neutral,3:neutral,,0.7
436,2:positive,2:positive,,0.88
437,3:neutral,3:neutral,,0.72
438,2:positive,2:positive,,0.84
439,1:negative,1:negative,,0.82
440,1:negative,1:negative,,0.89
441,2:positive,2:positive,,0.98
442,3:neutral,2:positive,+,0.609
443,2:positive,2:positive,,0.95
444,2:positive,2:positive,,0.95
445,2:positive,2:positive,,0.82
446,1:negative,1:negative,,0.85
447,2:positive,2:positive,,0.77
448,2:positive,2:positive,,0.89
449,1:negative,1:negative,,0.88
450,2:positive,2:positive,,0.93
451,2:positive,2:positive,,0.94
452,1:negative,1:negative,,0.81
453,3:neutral,3:neutral,,0.66
454,2:positive,2:positive,,0.757
455,3:neutral,3:neutral,,0.7
456,1:negative,1:negative,,0.74
457,3:neutral,3:neutral,,0.76
458,2:positive,2:positive,,0.79
459,2:positive,2:positive,,0.74
460,2:positive,2:positive,,0.91
461,2:positive,2:positive,,0.97
462,2:positive,2:positive,,0.93
463,1:negative,1:negative,,0.73
464,2:positive,2:positive,,0.92
465,1:negative,1:negative,,0.83
466,3:neutral,3:neutral,,0.65
467,2:positive,2:positive,,0.94
468,3:neutral,3:neutral,,0.75
469,1:negative,1:negative,,0.8
470,2:positive,2:positive,,0.96
471,2:positive,2:positive,,0.96
472,2:positive,2:positive,,0.88
473,2:positive,2:positive,,0.89
474,1:negative,1:negative,,0.86
475,1:negative,1:negative,,0.61
476,1:negative,1:negative,,0.83
477,2:positive,2:positive,,0.96
478,2:positive,2:positive,,0.96
479,1:negative,1:negative,,0.65
480,3:neutral,3:neutral,,0.72
481,1:negative,1:negative,,0.802
482,1:negative,1:negative,,0.82
483,2:positive,2:positive,,0.85
484,3:neutral,3:neutral,,0.77
485,2:positive,2:positive,,0.93
486,1:negative,1:negative,,0.67
487,1:negative,1:negative,,0.83
488,3:neutral,3:neutral,,0.72
489,2:positive,2:positive,,0.83
490,2:positive,2:positive,,0.85
491,1:negative,1:negative,,0.83
492,2:positive,2:positive,,0.89
493,2:positive,2:positive,,0.93
494,2:positive,2:positive,,0.84
495,3:neutral,3:neutral,,0.72
496,2:positive,2:positive,,0.86
497,2:positive,2:positive,,0.96
498,3:neutral,3:neutral,,0.74
499,1:negative,1:negative,,0.68
500,2:positive,2:positive,,0.91
501,2:positive,2:positive,,0.74
502,2:positive,2:positive,,0.91
503,2:positive,2:positive,,0.9
504,2:positive,2:positive,,0.94
505,2:positive,2:positive,,0.88
506,2:positive,2:positive,,0.93
507,2:positive,2:positive,,0.96
508,2:positive,2:positive,,0.92
509,2:positive,2:positive,,0.85
510,2:positive,2:positive,,0.97
511,2:positive,2:positive,,0.89
512,2:positive,2:positive,,0.84
513,2:positive,2:positive,,0.85
514,2:positive,2:positive,,0.82
515,1:negative,1:negative,,0.77
516,2:positive,2:positive,,0.98
517,3:neutral,3:neutral,,0.65
518,3:neutral,3:neutral,,0.77
519,1:negative,1:negative,,0.83
520,2:positive,2:positive,,0.96
521,2:positive,2:positive,,0.83
522,2:positive,2:positive,,0.94
523,3:neutral,3:neutral,,0.64
524,2:positive,2:positive,,0.98
525,2:positive,2:positive,,0.88
526,1:negative,1:negative,,0.88
527,2:positive,2:positive,,0.92
528,2:positive,2:positive,,0.9
529,1:negative,1:negative,,0.92
530,2:positive,2:positive,,0.75
531,2:positive,2:positive,,0.94
532,2:positive,2:positive,,0.84
533,2:positive,2:positive,,0.84
534,1:negative,1:negative,,0.86
535,1:negative,1:negative,,0.92
536,1:negative,1:negative,,0.75
537,2:positive,2:positive,,0.94
538,2:positive,2:positive,,0.89
539,1:negative,1:negative,,0.89
540,2:positive,2:positive,,0.96
541,1:negative,1:negative,,0.73
542,3:neutral,3:neutral,,0.75
543,2:positive,2:positive,,0.91
544,3:neutral,3:neutral,,0.73
545,2:positive,2:positive,,0.88
546,2:positive,2:positive,,1
547,2:positive,2:positive,,0.9
548,2:positive,2:positive,,0.9
549,2:positive,2:positive,,0.8
550,3:neutral,3:neutral,,0.72
551,2:positive,2:positive,,0.96
552,2:positive,2:positive,,0.9
553,2:positive,2:positive,,0.91
554,1:negative,1:negative,,0.97
555,2:positive,2:positive,,0.92
556,3:neutral,3:neutral,,0.74
557,1:negative,1:negative,,0.96
558,2:positive,2:positive,,0.89
559,2:positive,2:positive,,0.91
560,2:positive,2:positive,,0.93
561,1:negative,1:negative,,0.75
562,1:negative,1:negative,,0.82
563,2:positive,2:positive,,0.93
564,1:negative,1:negative,,0.74
565,3:neutral,3:neutral,,0.76
566,2:positive,2:positive,,0.75
567,2:positive,2:positive,,0.81
568,2:positive,2:positive,,0.78
569,2:positive,2:positive,,0.79
570,2:positive,2:positive,,0.79
571,2:positive,2:positive,,0.99
572,2:positive,2:positive,,0.81
573,2:positive,2:positive,,0.81
574,2:positive,2:positive,,0.92
575,1:negative,1:negative,,0.81
576,1:negative,1:negative,,0.92
577,2:positive,2:positive,,0.83
578,3:neutral,3:neutral,,0.66
579,1:negative,1:negative,,0.79
580,1:negative,1:negative,,0.83
581,2:positive,2:positive,,0.87
582,2:positive,2:positive,,0.93
583,2:positive,2:positive,,0.91
584,2:positive,2:positive,,0.92
585,3:neutral,3:neutral,,0.73
586,2:positive,2:positive,,0.74
587,2:positive,2:positive,,0.91
588,3:neutral,3:neutral,,0.7
589,3:neutral,3:neutral,,0.63
590,3:neutral,3:neutral,,0.72
591,1:negative,1:negative,,0.9
592,2:positive,2:positive,,0.92
593,3:neutral,3:neutral,,0.67
594,1:negative,1:negative,,0.88
595,2:positive,2:positive,,0.8
596,3:neutral,3:neutral,,0.78
597,3:neutral,3:neutral,,0.71
598,1:negative,1:negative,,0.91
599,3:neutral,3:neutral,,0.73
600,2:positive,2:positive,,0.82
601,1:negative,1:negative,,0.93
602,2:positive,2:positive,,0.87
603,2:positive,2:positive,,1
604,2:positive,2:positive,,0.9
605,1:negative,1:negative,,0.8
606,2:positive,2:positive,,0.79
607,2:positive,2:positive,,0.91
608,3:neutral,3:neutral,,0.7
609,1:negative,1:negative,,0.71
610,2:positive,2:positive,,0.92
611,2:positive,2:positive,,0.91
612,2:positive,2:positive,,0.87
613,1:negative,1:negative,,0.95
614,2:positive,2:positive,,0.86
615,1:negative,1:negative,,0.782
616,3:neutral,3:neutral,,0.75
617,1:negative,1:negative,,0.68
618,2:positive,2:positive,,0.83
619,1:negative,1:negative,,0.9
620,2:positive,2:positive,,0.86
621,2:positive,2:positive,,0.84
622,2:positive,2:positive,,0.88
623,2:positive,2:positive,,0.96
624,3:neutral,3:neutral,,0.73
625,2:positive,2:positive,,0.79
626,2:positive,2:positive,,0.93
627,3:neutral,3:neutral,,0.66
628,2:positive,2:positive,,0.753
629,1:negative,1:negative,,0.78
630,2:positive,2:positive,,0.93
631,1:negative,1:negative,,0.74
632,2:positive,2:positive,,0.96
633,1:negative,1:negative,,0.85
634,2:positive,2:positive,,0.99
635,2:positive,2:positive,,0.97
636,2:positive,2:positive,,0.96
637,2:positive,2:positive,,0.83
638,2:positive,2:positive,,0.92
639,3:neutral,3:neutral,,0.8
640,1:negative,1:negative,,0.81
641,3:neutral,3:neutral,,0.78
642,2:positive,2:positive,,0.92
643,1:negative,1:negative,,0.74
644,3:neutral,3:neutral,,0.78
645,2:positive,2:positive,,0.98
646,2:positive,2:positive,,0.92
647,1:negative,1:negative,,0.91
648,2:positive,2:positive,,0.75
649,1:negative,1:negative,,0.87
650,2:positive,2:positive,,0.82
651,2:positive,2:positive,,0.87
652,3:neutral,3:neutral,,0.67
653,2:positive,2:positive,,0.78
654,2:positive,2:positive,,0.89
655,2:positive,2:positive,,1
656,3:neutral,3:neutral,,0.6
657,1:negative,1:negative,,0.89
658,2:positive,2:positive,,0.99
659,2:positive,2:positive,,0.85
660,3:neutral,3:neutral,,0.7
661,2:positive,2:positive,,0.94
662,3:neutral,3:neutral,,0.73
663,2:positive,2:positive,,0.9
664,2:positive,2:positive,,0.86
665,2:positive,2:positive,,0.93
666,1:negative,1:negative,,0.95
667,3:neutral,3:neutral,,0.75
668,2:positive,2:positive,,0.77
669,1:negative,1:negative,,0.65
670,1:negative,1:negative,,0.93
671,2:positive,2:positive,,0.96
672,2:positive,2:positive,,0.87
673,3:neutral,3:neutral,,0.79
674,2:positive,2:positive,,0.94
675,2:positive,2:positive,,0.9
676,2:positive,2:positive,,0.95
677,3:neutral,3:neutral,,0.66
678,1:negative,1:negative,,0.67
679,2:positive,2:positive,,0.82
680,3:neutral,3:neutral,,0.72
681,2:positive,2:positive,,0.89
682,2:positive,2:positive,,0.89
683,2:positive,2:positive,,0.94
684,1:negative,1:negative,,0.93
685,2:positive,2:positive,,0.92
686,2:positive,2:positive,,0.98
687,2:positive,2:positive,,1
688,2:positive,2:positive,,0.86
689,1:negative,1:negative,,0.758
690,2:positive,2:positive,,0.94
691,3:neutral,3:neutral,,0.7
692,2:positive,2:positive,,0.609
693,2:positive,2:positive,,0.78
694,1:negative,1:negative,,0.7
695,2:positive,2:positive,,0.93
696,1:negative,1:negative,,0.7
697,3:neutral,3:neutral,,0.76
698,2:positive,2:positive,,0.93
699,1:negative,1:negative,,0.89
700,1:negative,1:negative,,0.76
701,1:negative,1:negative,,0.81
702,2:positive,2:positive,,0.97
703,2:positive,2:positive,,0.88
704,2:positive,2:positive,,0.8
705,2:positive,2:positive,,0.74
706,2:positive,2:positive,,0.95
707,1:negative,1:negative,,0.8
708,3:neutral,3:neutral,,0.77
709,3:neutral,3:neutral,,0.79
710,1:negative,1:negative,,0.58
711,1:negative,1:negative,,0.82
712,2:positive,2:positive,,0.99
713,2:positive,2:positive,,0.96
714,2:positive,2:positive,,0.99
715,2:positive,2:positive,,0.91
716,3:neutral,3:neutral,,0.77
717,1:negative,1:negative,,0.9
718,3:neutral,3:neutral,,0.64
719,2:positive,2:positive,,0.89
720,3:neutral,3:neutral,,0.73
721,1:negative,1:negative,,0.83
722,2:positive,2:positive,,0.96
723,2:positive,2:positive,,0.84
724,2:positive,2:positive,,0.84
725,2:positive,2:positive,,0.96
726,1:negative,1:negative,,0.72
727,2:positive,2:positive,,0.87
728,2:positive,2:positive,,0.84
729,2:positive,2:positive,,0.96
730,1:negative,1:negative,,0.71
731,2:positive,2:positive,,0.94
732,2:positive,2:positive,,0.86
733,1:negative,1:negative,,0.84
734,1:negative,1:negative,,0.76
735,2:positive,2:positive,,0.936
736,1:negative,1:negative,,0.82
737,2:positive,2:positive,,0.86
738,1:negative,1:negative,,0.84
739,1:negative,1:negative,,0.85
740,2:positive,2:positive,,0.81
741,2:positive,2:positive,,0.92
742,1:negative,1:negative,,0.91
743,2:positive,2:positive,,0.93
744,2:positive,2:positive,,0.83
745,1:negative,1:negative,,0.75
746,2:positive,2:positive,,0.96
747,1:negative,1:negative,,0.79
748,2:positive,2:positive,,0.85
749,2:positive,2:positive,,0.83
750,3:neutral,3:neutral,,0.71
751,2:positive,2:positive,,0.74
752,3:neutral,3:neutral,,0.75
753,2:positive,2:positive,,0.84
754,2:positive,2:positive,,0.94
755,2:positive,2:positive,,0.95
756,2:positive,2:positive,,1
757,2:positive,2:positive,,0.85
758,2:positive,2:positive,,0.77
759,1:negative,1:negative,,0.91
760,2:positive,2:positive,,0.82
761,2:positive,2:positive,,0.74
762,1:negative,1:negative,,0.69
763,1:negative,1:negative,,0.87
764,3:neutral,3:neutral,,0.77
765,1:negative,1:negative,,0.83
766,1:negative,1:negative,,0.69
767,2:positive,2:positive,,0.98
768,2:positive,2:positive,,0.86
769,2:positive,2:positive,,0.88
770,2:positive,2:positive,,0.88
771,2:positive,2:positive,,0.88
772,2:positive,2:positive,,0.78
773,2:positive,2:positive,,0.94
774,1:negative,1:negative,,0.74
775,3:neutral,3:neutral,,0.59
776,3:neutral,3:neutral,,0.7
777,2:positive,2:positive,,0.92
778,2:positive,2:positive,,0.93
