=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     final_test_3
Instances:    10000
Attributes:   659
              [list of attributes omitted]
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 63.73 seconds

=== Predictions on training set ===

inst#,actual,predicted,error,prediction
185,2:negative,2:negative,,0.9
186,1:positive,1:positive,,0.93
187,2:negative,2:negative,,0.79
188,1:positive,1:positive,,0.98
189,1:positive,1:positive,,0.95
190,2:negative,2:negative,,0.87
191,2:negative,2:negative,,0.82
192,2:negative,2:negative,,0.89
193,2:negative,2:negative,,0.92
194,1:positive,1:positive,,0.93
195,2:negative,2:negative,,0.87
196,1:positive,1:positive,,0.91
197,2:negative,2:negative,,0.86
198,1:positive,1:positive,,0.97
199,1:positive,1:positive,,0.96
200,1:positive,1:positive,,0.93
201,1:positive,1:positive,,0.92
202,1:positive,1:positive,,0.98
203,2:negative,2:negative,,0.75
204,2:negative,2:negative,,0.79
205,1:positive,1:positive,,0.97
206,1:positive,1:positive,,1
207,1:positive,1:positive,,0.94
208,1:positive,1:positive,,0.92
209,1:positive,1:positive,,0.95
210,1:positive,1:positive,,0.94
211,2:negative,2:negative,,0.85
212,2:negative,2:negative,,0.95
213,1:positive,1:positive,,0.94
214,1:positive,1:positive,,0.99
215,1:positive,1:positive,,0.99
216,2:negative,2:negative,,0.73
217,1:positive,1:positive,,0.98
218,1:positive,1:positive,,0.98
219,2:negative,2:negative,,0.9
220,2:negative,2:negative,,0.86
221,1:positive,1:positive,,0.96
222,1:positive,1:positive,,1
223,2:negative,2:negative,,0.87
224,1:positive,1:positive,,0.81
225,1:positive,1:positive,,0.98
226,1:positive,1:positive,,0.93
227,1:positive,1:positive,,0.96
228,1:positive,1:positive,,0.86
229,1:positive,1:positive,,1
230,1:positive,1:positive,,0.94
231,1:positive,1:positive,,0.93
232,1:positive,1:positive,,0.94
233,2:negative,2:negative,,0.81
234,1:positive,1:positive,,0.99
235,1:positive,1:positive,,0.98
236,1:positive,1:positive,,0.99
237,1:positive,1:positive,,0.92
238,1:positive,1:positive,,0.96
239,1:positive,1:positive,,0.94
240,1:positive,1:positive,,0.94
241,2:negative,2:negative,,0.76
242,1:positive,1:positive,,0.98
243,1:positive,1:positive,,1
244,1:positive,1:positive,,0.96
245,1:positive,1:positive,,1
246,1:positive,1:positive,,0.89
247,2:negative,2:negative,,0.88
248,2:negative,2:negative,,0.92
249,2:negative,2:negative,,0.86
250,1:positive,1:positive,,0.93
251,1:positive,1:positive,,1
252,2:negative,2:negative,,0.78
253,1:positive,1:positive,,0.96
254,1:positive,1:positive,,0.96
255,2:negative,2:negative,,0.86
256,1:positive,1:positive,,0.88
257,1:positive,1:positive,,0.93
258,1:positive,1:positive,,0.99
259,1:positive,1:positive,,0.99
260,1:positive,1:positive,,0.98
261,2:negative,2:negative,,0.83
262,1:positive,1:positive,,0.99
263,1:positive,1:positive,,0.91
264,2:negative,2:negative,,0.84
265,1:positive,1:positive,,0.95
266,2:negative,2:negative,,0.82
267,1:positive,1:positive,,0.99
268,2:negative,2:negative,,0.78
269,2:negative,2:negative,,0.91
270,1:positive,1:positive,,0.96
271,1:positive,1:positive,,0.95
272,1:positive,1:positive,,0.97
273,3:neutral,3:neutral,,0.66
274,1:positive,1:positive,,0.9
275,1:positive,1:positive,,0.97
276,1:positive,1:positive,,1
277,1:positive,1:positive,,0.98
278,1:positive,1:positive,,0.92
279,1:positive,1:positive,,0.93
280,1:positive,1:positive,,0.93
281,2:negative,2:negative,,0.8
282,1:positive,1:positive,,0.87
283,2:negative,2:negative,,0.82
284,1:positive,1:positive,,0.93
285,1:positive,1:positive,,0.97
286,1:positive,1:positive,,1
287,1:positive,1:positive,,0.99
288,1:positive,1:positive,,0.96
289,1:positive,1:positive,,0.96
290,1:positive,1:positive,,0.98
291,1:positive,1:positive,,0.97
292,1:positive,1:positive,,0.94
293,1:positive,1:positive,,0.99
294,1:positive,1:positive,,0.99
295,1:positive,1:positive,,0.96
296,1:positive,1:positive,,0.97
297,1:positive,1:positive,,0.94
298,1:positive,1:positive,,0.98
299,1:positive,1:positive,,1
300,1:positive,1:positive,,0.9
301,1:positive,1:positive,,0.98
302,2:negative,2:negative,,0.93
303,1:positive,1:positive,,0.91
304,2:negative,2:negative,,0.79
305,1:positive,1:positive,,0.92
306,1:positive,1:positive,,0.99
307,1:positive,1:positive,,0.98
308,2:negative,2:negative,,0.75
309,1:positive,1:positive,,1
310,1:positive,1:positive,,0.9
311,2:negative,2:negative,,0.73
312,2:negative,2:negative,,0.81
313,2:negative,2:negative,,0.76
314,1:positive,1:positive,,1
315,1:positive,1:positive,,0.92
316,1:positive,1:positive,,0.83
317,1:positive,1:positive,,1
318,1:positive,1:positive,,0.95
319,1:positive,1:positive,,0.8
320,1:positive,1:positive,,0.93
321,1:positive,1:positive,,1
322,1:positive,1:positive,,0.9
323,2:negative,2:negative,,0.8
324,2:negative,2:negative,,0.9
325,2:negative,2:negative,,0.85
326,1:positive,1:positive,,0.94
327,1:positive,1:positive,,1
328,2:negative,2:negative,,0.87
329,1:positive,1:positive,,0.82
330,1:positive,1:positive,,0.97
331,2:negative,2:negative,,0.86
332,1:positive,1:positive,,0.93
333,1:positive,1:positive,,0.86
334,1:positive,1:positive,,0.97
335,1:positive,1:positive,,0.99
336,1:positive,1:positive,,0.99
337,1:positive,1:positive,,0.98
338,1:positive,1:positive,,0.95
339,1:positive,1:positive,,1
340,1:positive,1:positive,,0.89
341,1:positive,1:positive,,0.9
342,2:negative,2:negative,,0.81
343,1:positive,1:positive,,0.95
344,1:positive,1:positive,,0.91
345,2:negative,2:negative,,0.82
346,1:positive,1:positive,,0.95
347,1:positive,1:positive,,0.98
348,1:positive,1:positive,,0.91
349,1:positive,1:positive,,0.97
350,1:positive,1:positive,,0.99
351,1:positive,1:positive,,0.99
352,1:positive,1:positive,,0.88
353,1:positive,1:positive,,0.86
354,2:negative,2:negative,,0.84
355,1:positive,1:positive,,0.94
356,1:positive,1:positive,,0.87
357,3:neutral,3:neutral,,0.61
358,1:positive,1:positive,,1
359,3:neutral,3:neutral,,0.69
360,1:positive,1:positive,,0.93
361,1:positive,1:positive,,0.92
362,1:positive,1:positive,,0.94
363,1:positive,1:positive,,0.94
364,1:positive,1:positive,,1
365,1:positive,1:positive,,0.96
366,2:negative,2:negative,,0.83
367,1:positive,1:positive,,0.98
368,1:positive,1:positive,,0.99
369,2:negative,2:negative,,0.89
370,2:negative,2:negative,,0.79
371,1:positive,1:positive,,0.98
372,1:positive,1:positive,,0.99
373,2:negative,2:negative,,0.68
374,1:positive,1:positive,,0.96
375,1:positive,1:positive,,0.96
376,2:negative,2:negative,,0.89
377,2:negative,2:negative,,0.81
378,1:positive,1:positive,,0.96
379,2:negative,2:negative,,0.8
380,2:negative,2:negative,,0.88
381,1:positive,1:positive,,0.95
382,1:positive,1:positive,,0.89
383,1:positive,1:positive,,0.89
384,1:positive,1:positive,,0.99
385,1:positive,1:positive,,0.99
386,2:negative,2:negative,,0.85
387,1:positive,1:positive,,0.9
388,1:positive,1:positive,,1
389,1:positive,1:positive,,0.98
390,1:positive,1:positive,,0.95
391,1:positive,1:positive,,0.99
392,1:positive,1:positive,,0.96
393,1:positive,1:positive,,1
394,2:negative,2:negative,,0.92
395,2:negative,2:negative,,0.9
396,1:positive,1:positive,,0.92
397,2:negative,2:negative,,0.96
398,1:positive,1:positive,,0.88
399,1:positive,1:positive,,0.98
400,1:positive,1:positive,,0.97
401,2:negative,2:negative,,0.83
402,1:positive,1:positive,,0.96
403,2:negative,2:negative,,0.86
404,1:positive,1:positive,,0.99
405,1:positive,1:positive,,0.92
406,2:negative,2:negative,,0.87
407,1:positive,1:positive,,0.96
408,1:positive,1:positive,,0.98
409,1:positive,1:positive,,0.96
410,2:negative,2:negative,,0.87
411,1:positive,1:positive,,0.96
412,1:positive,1:positive,,0.94
413,1:positive,1:positive,,0.96
414,2:negative,2:negative,,0.8
415,1:positive,1:positive,,0.93
416,1:positive,1:positive,,0.97
417,1:positive,1:positive,,0.95
418,2:negative,2:negative,,0.82
419,1:positive,1:positive,,0.91
420,2:negative,2:negative,,0.89
421,1:positive,1:positive,,0.98
422,1:positive,1:positive,,0.99
423,1:positive,1:positive,,0.97
424,1:positive,1:positive,,0.94
425,2:negative,2:negative,,0.93
426,1:positive,1:positive,,0.94
427,1:positive,1:positive,,0.94
428,1:positive,1:positive,,0.97
429,2:negative,2:negative,,0.92
430,1:positive,1:positive,,0.94
431,1:positive,1:positive,,0.95
432,2:negative,2:negative,,0.77
433,1:positive,1:positive,,0.96
434,1:positive,1:positive,,0.88
435,2:negative,2:negative,,0.76
436,1:positive,1:positive,,0.96
437,1:positive,1:positive,,0.96
438,1:positive,1:positive,,0.93
439,1:positive,1:positive,,0.98
440,1:positive,1:positive,,0.96
441,1:positive,1:positive,,0.93
442,1:positive,1:positive,,0.96
443,2:negative,2:negative,,0.83
444,1:positive,1:positive,,0.98
445,1:positive,1:positive,,1
446,2:negative,2:negative,,0.94
447,1:positive,1:positive,,0.97
448,1:positive,1:positive,,0.97
449,1:positive,1:positive,,0.96
450,1:positive,1:positive,,0.95
451,2:negative,2:negative,,0.85
452,1:positive,1:positive,,0.92
453,1:positive,1:positive,,0.98
454,1:positive,1:positive,,0.87
455,2:negative,2:negative,,0.75
456,1:positive,1:positive,,0.95
457,1:positive,1:positive,,0.99
458,1:positive,1:positive,,0.97
459,1:positive,1:positive,,0.99
460,1:positive,1:positive,,0.98
461,1:positive,1:positive,,0.95
462,1:positive,1:positive,,0.96
463,1:positive,1:positive,,0.97
464,1:positive,1:positive,,0.92
465,1:positive,1:positive,,0.99
466,1:positive,1:positive,,0.9
467,2:negative,2:negative,,0.79
468,1:positive,1:positive,,0.96
469,1:positive,1:positive,,0.96
470,2:negative,2:negative,,0.77
471,1:positive,1:positive,,0.97
472,1:positive,1:positive,,0.97
473,1:positive,1:positive,,0.98
474,1:positive,1:positive,,0.98
475,2:negative,2:negative,,0.92
476,2:negative,2:negative,,0.88
477,1:positive,1:positive,,0.99
478,1:positive,1:positive,,1
479,2:negative,2:negative,,0.86
480,1:positive,1:positive,,0.96
481,2:negative,2:negative,,0.85
482,2:negative,2:negative,,0.9
483,1:positive,1:positive,,0.93
484,1:positive,1:positive,,0.93
485,1:positive,1:positive,,0.98
486,1:positive,1:positive,,1
487,2:negative,2:negative,,0.79
488,1:positive,1:positive,,0.99
489,2:negative,2:negative,,0.85
490,1:positive,1:positive,,0.94
491,1:positive,1:positive,,0.98
492,2:negative,2:negative,,0.77
493,1:positive,1:positive,,0.97
494,1:positive,1:positive,,0.83
495,1:positive,1:positive,,0.97
496,1:positive,1:positive,,0.94
497,1:positive,1:positive,,0.99
498,1:positive,1:positive,,0.95
499,1:positive,1:positive,,0.87
500,1:positive,1:positive,,0.96
501,1:positive,1:positive,,0.99
502,1:positive,1:positive,,1
503,1:positive,1:positive,,0.93
504,1:positive,1:positive,,0.98
505,1:positive,1:positive,,0.86
506,1:positive,1:positive,,0.88
507,1:positive,1:positive,,0.98
508,2:negative,2:negative,,0.9
509,2:negative,2:negative,,0.79
510,1:positive,1:positive,,0.98
511,1:positive,1:positive,,0.98
512,1:positive,1:positive,,1
513,1:positive,1:positive,,0.95
514,2:negative,2:negative,,0.93
515,1:positive,1:positive,,0.84
516,1:positive,1:positive,,0.97
517,1:positive,1:positive,,0.97
518,1:positive,1:positive,,0.95
519,2:negative,2:negative,,0.77
520,2:negative,2:negative,,0.79
521,1:positive,1:positive,,0.84
522,2:negative,2:negative,,0.78
523,1:positive,1:positive,,0.97
524,1:positive,1:positive,,0.96
525,2:negative,2:negative,,0.92
526,1:positive,1:positive,,0.99
527,2:negative,2:negative,,0.93
528,1:positive,1:positive,,0.98
529,1:positive,1:positive,,0.98
530,1:positive,1:positive,,0.93
531,1:positive,1:positive,,0.96
532,1:positive,1:positive,,0.94
533,1:positive,1:positive,,0.97
534,2:negative,2:negative,,0.7
535,1:positive,1:positive,,0.93
536,1:positive,1:positive,,1
537,1:positive,1:positive,,1
538,1:positive,1:positive,,0.96
539,1:positive,1:positive,,0.93
540,1:positive,1:positive,,0.93
541,1:positive,1:positive,,0.95
542,1:positive,1:positive,,0.92
543,1:positive,1:positive,,0.93
544,1:positive,1:positive,,0.98
545,2:negative,2:negative,,0.79
546,1:positive,1:positive,,0.94
547,1:positive,1:positive,,0.96
548,1:positive,1:positive,,0.94
549,2:negative,2:negative,,0.77
550,1:positive,1:positive,,0.98
551,1:positive,1:positive,,0.97
552,1:positive,1:positive,,0.99
553,1:positive,1:positive,,0.97
554,2:negative,2:negative,,0.87
555,2:negative,2:negative,,0.82
556,2:negative,2:negative,,0.74
557,1:positive,1:positive,,0.99
558,1:positive,1:positive,,0.91
559,1:positive,1:positive,,0.88
560,1:positive,1:positive,,0.98
561,1:positive,1:positive,,0.97
562,2:negative,2:negative,,0.75
563,1:positive,1:positive,,0.97
564,1:positive,1:positive,,0.99
565,1:positive,1:positive,,1
566,1:positive,1:positive,,0.98
567,3:neutral,3:neutral,,0.63
568,1:positive,1:positive,,0.95
569,1:positive,1:positive,,0.98
570,1:positive,1:positive,,0.98
571,2:negative,2:negative,,0.77
572,1:positive,1:positive,,0.88
573,1:positive,1:positive,,0.96
574,2:negative,2:negative,,0.77
575,1:positive,1:positive,,0.91
576,1:positive,1:positive,,0.8
577,1:positive,1:positive,,0.87
578,1:positive,1:positive,,0.93
579,1:positive,1:positive,,0.9
580,1:positive,1:positive,,1
581,1:positive,1:positive,,0.98
582,1:positive,1:positive,,0.95
583,1:positive,1:positive,,0.95
584,1:positive,1:positive,,0.87
585,1:positive,1:positive,,0.92
586,1:positive,1:positive,,0.97
587,2:negative,2:negative,,0.8
588,1:positive,1:positive,,0.99
589,1:positive,1:positive,,0.96
590,2:negative,2:negative,,0.98
591,1:positive,1:positive,,0.98
592,1:positive,1:positive,,0.91
593,1:positive,1:positive,,0.83
594,1:positive,1:positive,,0.96
595,1:positive,1:positive,,0.99
596,1:positive,1:positive,,0.9
597,1:positive,1:positive,,0.96
598,1:positive,1:positive,,0.95
599,1:positive,1:positive,,0.94
600,1:positive,1:positive,,0.98
601,1:positive,1:positive,,0.94
602,1:positive,1:positive,,0.99
603,1:positive,1:positive,,0.93
604,1:positive,1:positive,,0.95
605,1:positive,1:positive,,0.92
606,2:negative,2:negative,,0.92
607,1:positive,1:positive,,0.94
608,1:positive,1:positive,,0.95
609,1:positive,1:positive,,0.9
610,1:positive,1:positive,,1
611,2:negative,2:negative,,0.91
612,1:positive,1:positive,,0.89
613,1:positive,1:positive,,0.96
614,2:negative,2:negative,,0.83
615,1:positive,1:positive,,0.91
616,1:positive,1:positive,,0.86
617,1:positive,1:positive,,0.85
618,3:neutral,3:neutral,,0.66
619,1:positive,1:positive,,0.99
620,1:positive,1:positive,,0.95
621,1:positive,1:positive,,1
622,1:positive,1:positive,,0.95
623,1:positive,1:positive,,0.98
624,1:positive,1:positive,,0.99
625,1:positive,1:positive,,0.96
626,1:positive,1:positive,,0.87
627,1:positive,1:positive,,0.96
628,2:negative,2:negative,,0.81
629,2:negative,2:negative,,0.92
630,1:positive,1:positive,,0.91
631,2:negative,2:negative,,0.84
632,1:positive,1:positive,,0.92
633,1:positive,1:positive,,0.92
634,2:negative,2:negative,,0.77
635,1:positive,1:positive,,0.91
636,2:negative,2:negative,,0.84
637,1:positive,1:positive,,0.94
638,2:negative,2:negative,,0.88
639,1:positive,1:positive,,0.95
640,1:positive,1:positive,,1
641,1:positive,1:positive,,0.98
642,1:positive,1:positive,,0.92
643,1:positive,1:positive,,0.95
644,2:negative,2:negative,,0.87
645,2:negative,2:negative,,0.74
646,1:positive,1:positive,,0.87
647,1:positive,1:positive,,0.96
648,1:positive,1:positive,,0.97
649,1:positive,1:positive,,0.99
650,1:positive,1:positive,,0.96
651,1:positive,1:positive,,0.95
652,1:positive,1:positive,,0.93
653,1:positive,1:positive,,0.9
654,1:positive,1:positive,,0.94
655,1:positive,1:positive,,0.93
656,1:positive,1:positive,,0.96
657,1:positive,1:positive,,0.89
658,2:negative,2:negative,,0.86
659,1:positive,1:positive,,1
660,1:positive,1:positive,,0.8
661,1:positive,1:positive,,0.97
662,1:positive,1:positive,,0.91
663,1:positive,1:positive,,0.98
664,1:positive,1:positive,,0.9
665,2:negative,2:negative,,0.84
666,2:negative,2:negative,,0.85
667,1:positive,1:positive,,0.98
668,1:positive,1:positive,,1
669,2:negative,2:negative,,0.82
670,1:positive,1:positive,,0.97
671,1:positive,1:positive,,0.96
672,1:positive,1:positive,,0.95
673,1:positive,1:positive,,0.95
674,1:positive,1:positive,,0.96
675,1:positive,1:positive,,0.84
676,1:positive,1:positive,,0.86
677,1:positive,1:positive,,0.86
678,1:positive,1:positive,,0.96
679,1:positive,1:positive,,0.98
680,1:positive,1:positive,,0.88
681,1:positive,1:positive,,0.94
682,1:positive,1:positive,,0.97
683,1:positive,1:positive,,1
684,1:positive,1:positive,,0.94
685,1:positive,1:positive,,0.99
686,1:positive,1:positive,,0.87
687,2:negative,2:negative,,0.81
688,1:positive,1:positive,,0.93
689,1:positive,1:positive,,0.97
690,1:positive,1:positive,,0.93
691,2:negative,2:negative,,0.79
692,1:positive,1:positive,,0.96
693,1:positive,1:positive,,1
694,1:positive,1:positive,,0.98
695,2:negative,2:negative,,0.96
696,2:negative,2:negative,,0.76
697,1:positive,1:positive,,0.83
698,1:positive,1:positive,,0.82
699,2:negative,2:negative,,0.96
700,2:negative,2:negative,,0.92
701,1:positive,1:positive,,0.95
702,1:positive,1:positive,,0.98
703,1:positive,1:positive,,0.96
704,1:positive,1:positive,,0.95
705,1:positive,1:positive,,0.96
706,1:positive,1:positive,,0.99
707,1:positive,1:positive,,1
708,1:positive,1:positive,,0.99
709,2:negative,2:negative,,0.87
710,1:positive,1:positive,,0.98
711,2:negative,2:negative,,0.81
712,2:negative,2:negative,,0.71
713,1:positive,1:positive,,0.9
714,2:negative,2:negative,,0.74
715,1:positive,1:positive,,0.9
716,1:positive,1:positive,,0.84
717,2:negative,2:negative,,0.87
718,2:negative,2:negative,,0.74
719,1:positive,1:positive,,0.95
720,1:positive,1:positive,,0.9
721,1:positive,1:positive,,0.97
722,2:negative,2:negative,,0.82
723,2:negative,2:negative,,0.8
724,1:positive,1:positive,,0.95
725,1:positive,1:positive,,0.94
726,2:negative,2:negative,,0.75
727,1:positive,1:positive,,0.81
728,1:positive,1:positive,,0.88
729,1:positive,1:positive,,0.96
730,2:negative,2:negative,,0.84
731,1:positive,1:positive,,0.95
732,2:negative,2:negative,,0.82
733,1:positive,1:positive,,0.99
734,1:positive,1:positive,,0.9
735,1:positive,1:positive,,0.97
736,1:positive,1:positive,,0.96
737,1:positive,1:positive,,0.94
738,2:negative,2:negative,,0.7
739,1:positive,1:positive,,0.91
740,2:negative,2:negative,,0.93
741,2:negative,2:negative,,0.84
742,1:positive,1:positive,,0.96
743,1:positive,1:positive,,0.92
744,1:positive,1:positive,,0.94
745,1:positive,1:positive,,0.9
746,1:positive,1:positive,,0.96
747,1:positive,1:positive,,1
748,1:positive,1:positive,,0.98
749,2:negative,2:negative,,0.85
750,1:positive,1:positive,,0.87
751,1:positive,1:positive,,0.99
752,2:negative,2:negative,,0.81
753,1:positive,1:positive,,0.99
754,1:positive,1:positive,,0.99
755,1:positive,1:positive,,0.94
756,1:positive,1:positive,,0.91
757,1:positive,1:positive,,0.92
758,2:negative,2:negative,,0.75
759,1:positive,1:positive,,0.89
760,1:positive,1:positive,,0.89
761,1:positive,1:positive,,0.96
762,1:positive,1:positive,,0.98
763,2:negative,2:negative,,0.89
764,1:positive,1:positive,,1
765,1:positive,1:positive,,0.9
766,2:negative,2:negative,,0.74
767,1:positive,1:positive,,0.89
768,1:positive,1:positive,,0.92
769,1:positive,1:positive,,0.99
770,1:positive,1:positive,,0.92
771,1:positive,1:positive,,0.99
772,1:positive,1:positive,,0.96
773,1:positive,1:positive,,0.93
774,1:positive,1:positive,,0.97
775,3:neutral,3:neutral,,0.62
776,1:positive,1:positive,,0.88
777,1:positive,1:positive,,0.98
778,2:negative,2:negative,,0.89
779,1:positive,1:positive,,0.98
780,1:positive,1:positive,,0.92
781,1:positive,1:positive,,0.92
782,1:positive,1:positive,,0.95
783,1:positive,1:positive,,0.93
784,1:positive,1:positive,,0.84
785,2:negative,2:negative,,0.94
786,1:positive,1:positive,,0.98
787,2:negative,2:negative,,0.78
788,1:positive,1:positive,,0.99
789,1:positive,1:positive,,0.95
790,2:negative,2:negative,,0.84
791,1:positive,1:positive,,0.93
792,1:positive,1:positive,,0.85
793,1:positive,1:positive,,0.87
794,2:negative,2:negative,,0.77
795,1:positive,1:positive,,0.94
796,2:negative,2:negative,,0.73
797,1:positive,1:positive,,0.96
798,2:negative,2:negative,,0.77
